Consecutivo;Tipo_entidad;Codigo_Entidad;Fecha_Corte;  Area;Tipo_Informe;CIDT        ;Codigo_Formato;Codigo_Clase;Codigo_Grupo;Codigo_Cuenta;Cod_SubCuenta;COL0                ;COL1                ;COL2
----------- ------------ -------------- ----------- ------ ------------ ------------ -------------- ------------ ------------ ------------- ------------- -------------------- -------------------- --------------------
        545;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           5;           1;           20;           43;2537958238.27       ;2537958238.27       ;?
        343;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           1;           6;           94;           53;288292189.22        ;288292189.22        ;?
        129;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           1;           6;            8;           44;65839454.00         ;65839454.00         ;?
         46;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           1;           6;           94;           62;493805.63           ;493805.63           ;?
        824;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           8;           2;           81;           23;23838392.00         ;23838392.00         ;?
        359;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           6;           4;           32;           54;458454271.00        ;458454271.00        ;?
          3;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           2;           9;            7;            5;6122228979.00       ;6122228979.00       ;?
        254;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           1;           6;            5;           42;4686428471.89       ;4676539302.40       ;9889169.49
         32;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           5;           1;           90;           35;112780139.20        ;112780139.20        ;?
         20;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           1;           6;           39;           20;196043592.00        ;196043592.00        ;?
        238;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           1;           6;           96;           63;15922808.31         ;15922808.31         ;?
         69;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           8;           2;           87;            2;1931826699187.67    ;1930614748562.25    ;1211950625.42
        278;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           2;           1;           16;           90;7965356971.00       ;7965356971.00       ;?
         85;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           8;           2;           74;           82;86583638.00         ;86583638.00         ;?
        524;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           8;           2;           74;           84;21541156.00         ;21541156.00         ;?
        593;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           5;           1;           20;           19;593742517.88        ;593742517.88        ;?
        107;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           1;           4;           14;           60;9526214384.07       ;9526214384.07       ;?
        113;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           6;           4;           30;           34;792282363.98        ;792282363.98        ;?
         36;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           8;           2;           74;           72;774299566.00        ;774299566.00        ;?
        138;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           1;           6;           10;           70;3037034927.23       ;3037034927.23       ;?
        497;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           8;           2;           74;           64;5959435651.00       ;5959435651.00       ;?
         81;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           5;           1;           20;            1;2626746780.00       ;2626746780.00       ;?
         96;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           5;           1;           20;           17;28031500.00         ;28031500.00         ;?
        707;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           1;           8;           18;           97;1524710468.16       ;1524710468.16       ;?
         13;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           8;           2;           83;           10;351235391.80        ;351235391.80        ;?
         12;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           8;           2;           84;           26;321670.02           ;321670.02           ;?
        483;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           5;           1;           20;           11;1168613858.15       ;1168613858.15       ;?
        127;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           1;           6;           96;           56;2069228663.49       ;2069228663.49       ;?
        153;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           5;           1;           20;            7;174426011.32        ;174426011.32        ;?
          8;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           8;           2;           83;           28;169548.00           ;169548.00           ;?
         19;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           8;           2;           83;           14;634081.27           ;634081.27           ;?
        454;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           1;           6;           94;           78;6280398.59          ;6280398.59          ;?
        372;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           5;           1;           20;           31;1681582668.00       ;1681582668.00       ;?
        539;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           5;           1;           70;           75;3585595.72          ;3585595.72          ;?
        418;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           8;           2;           74;           80;107858500.90        ;107858500.90        ;?
         17;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           2;           9;           90;           95;3265466453.23       ;2961925109.12       ;303541344.11
        194;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           4;           1;            3;           55;51756335.00         ;51756335.00         ;?
        125;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           8;           2;           86;            8;6892207.00          ;6892207.00          ;?
        144;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           5;           1;           33;           45;28197953.43         ;28197953.43         ;?
        611;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           6;           4;           30;           46;1184962.00          ;1184962.00          ;?
        193;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           6;           4;           30;           36;3163619284.93       ;3163619284.93       ;?
        295;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           8;           2;           81;           13;216660086.54        ;216660086.54        ;?
        191;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           6;           4;           30;           58;41200294263.79      ;41170294684.03      ;29999579.76
        197;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           8;           2;           74;           68;1779891834.00       ;1779891834.00       ;?
         54;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           8;           2;           74;           12;1268732.00          ;1268732.00          ;?
         14;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           8;           2;           83;            4;42225621.00         ;42225621.00         ;?
        312;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           1;           6;           94;           67;314218358.42        ;314218358.42        ;?
        718;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           8;           2;           74;           86;10960189.00         ;10960189.00         ;?
        360;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           1;           6;           96;           53;95644113.61         ;95644113.61         ;?
        396;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           1;           6;            5;           44;1125671875.81       ;1125671875.81       ;?
        143;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           1;           8;            1;           62;237687608850.92     ;237687608850.92     ;?
        146;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           1;           6;            8;           16;1995375.41          ;1995375.41          ;?
        475;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           1;           6;           94;           54;805804055.58        ;805804055.58        ;?
         10;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           5;           1;            7;            5;57046899.26         ;57046899.26         ;?
        720;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           1;           6;            8;           42;297132240.00        ;297132240.00        ;?
         48;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           5;           1;           33;           35;6048313.00          ;6048313.00          ;?
         51;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           8;           1;           20;           20;41754987621.45      ;41754987621.45      ;?
        860;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           1;           6;           94;           63;10177558.16         ;10177558.16         ;?
         98;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           8;           2;           84;            2;10662325579644.60   ;10662325579644.60   ;?
        292;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           8;           2;           74;           90;90552937.00         ;90552937.00         ;?
        253;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           1;           6;           94;           82;116407809.70        ;116407809.70        ;?
        834;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           1;           6;           94;           84;87714436.90         ;87714436.90         ;?
        123;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           2;           4;           35;           60;74047286271.83      ;74047286271.83      ;?
        137;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           1;           6;            5;           34;611714.00           ;611714.00           ;?
        205;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           2;           5;           90;           65;68620726.28         ;68620726.28         ;?
        289;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           5;           1;           90;           70;143669600.00        ;143669600.00        ;?
        517;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           1;           6;           96;           64;83492123.87         ;83492123.87         ;?
         38;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           1;           6;            5;           30;97323664.00         ;97323664.00         ;?
        440;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           4;           1;           29;           17;20373798000.00      ;?                   ;20373798000.00
